Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1312202;UNIDAD GESTIÓN LARGO PLAZO GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1312050;DIRECCIÓN PLANTAS TÉRMICAS GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1980610;DIRECCIÓN CONTABILIDAD Y COSTOS;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA CONTABILIDAD Y SERVICIOS FINANCIEROS
202107;1980136;DIRECCIÓN MERCADEO RELACIONAL;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1511064;UNIDAD OPERACIÓN Y MANTENIMIENTO GESTIÓN AGUAS RESIDUALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
202107;1980144;UNIDAD FACTURACIÓN;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980706;DIRECCIÓN PLANEACIÓN CADENA DE SUMINISTRO;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1300224;UNIDAD PROGRAMACIÓN Y DESEMPEÑO PROYECTOS GENERACIÓN;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;VICEPRESIDENCIA PROYECTOS GENERACIÓN ENERGÍA
202107;1312003;UNIDAD PLANEACIÓN DE INFRAESTRUCTURA GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
202107;1980259;DIRECCIÓN PROYECTOS AGUAS, SANEAMIENTO, GAS Y LOCATIVOS 4;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS AGUAS, SANEAMIENTO, GAS Y LOCATIVOS
